Biome list:
-----------------------------------------------------------------------------------------------------------------------------------------------
 index | biomeID | biomeName                | color                   | waterColorMultiplier    |    temperature |       rainfall |  enableSnow
-----------------------------------------------------------------------------------------------------------------------------------------------
     0 |       0 | Ocean                    | 0x00000070 (       112) | 0x00FFFFFF (  16777215) |       0.500000 |       1.000000 |       false
     1 |       1 | Plains                   | 0x008DB360 (   9286496) | 0x00FFFFFF (  16777215) |       0.800000 |       0.400000 |       false
     2 |       2 | Desert                   | 0x00FA9418 (  16421912) | 0x00FFFFFF (  16777215) |       2.000000 |       0.000000 |       false
     3 |       3 | Extreme Hills            | 0x00606060 (   6316128) | 0x00FFFFFF (  16777215) |       0.200000 |       0.300000 |       false
     4 |       4 | Forest                   | 0x00056621 (    353825) | 0x00FFFFFF (  16777215) |       0.700000 |       0.800000 |       false
     5 |       5 | Taiga                    | 0x000B6659 (    747097) | 0x00FFFFFF (  16777215) |       0.250000 |       0.800000 |       false
     6 |       6 | Swampland                | 0x0007F9B2 (    522674) | 0x00E0FFAE (  14745518) |       0.800000 |       0.900000 |       false
     7 |       7 | River                    | 0x000000FF (       255) | 0x00FFFFFF (  16777215) |       0.500000 |       0.500000 |       false
     8 |       8 | Hell                     | 0x00FF0000 (  16711680) | 0x00FFFFFF (  16777215) |       2.000000 |       0.000000 |       false
     9 |       9 | Sky                      | 0x008080FF (   8421631) | 0x00FFFFFF (  16777215) |       0.500000 |       0.500000 |       false
    10 |      10 | FrozenOcean              | 0x009090A0 (   9474208) | 0x00FFFFFF (  16777215) |       0.000000 |       0.500000 |        true
    11 |      11 | FrozenRiver              | 0x00A0A0FF (  10526975) | 0x00FFFFFF (  16777215) |       0.000000 |       0.500000 |        true
    12 |      12 | Ice Plains               | 0x00FFFFFF (  16777215) | 0x00FFFFFF (  16777215) |       0.000000 |       0.500000 |        true
    13 |      13 | Ice Mountains            | 0x00A0A0A0 (  10526880) | 0x00FFFFFF (  16777215) |       0.000000 |       0.500000 |        true
    14 |      14 | MushroomIsland           | 0x00FF00FF (  16711935) | 0x00FFFFFF (  16777215) |       0.900000 |       1.000000 |       false
    15 |      15 | MushroomIslandShore      | 0x00A000FF (  10486015) | 0x00FFFFFF (  16777215) |       0.900000 |       1.000000 |       false
    16 |      16 | Beach                    | 0x00FADE55 (  16440917) | 0x00FFFFFF (  16777215) |       0.800000 |       0.400000 |       false
    17 |      17 | DesertHills              | 0x00D25F12 (  13786898) | 0x00FFFFFF (  16777215) |       2.000000 |       0.000000 |       false
    18 |      18 | ForestHills              | 0x0022551C (   2250012) | 0x00FFFFFF (  16777215) |       0.700000 |       0.800000 |       false
    19 |      19 | TaigaHills               | 0x00163933 (   1456435) | 0x00FFFFFF (  16777215) |       0.250000 |       0.800000 |       false
    20 |      20 | Extreme Hills Edge       | 0x0072789A (   7501978) | 0x00FFFFFF (  16777215) |       0.200000 |       0.300000 |       false
    21 |      21 | Jungle                   | 0x00537B09 (   5470985) | 0x00FFFFFF (  16777215) |       0.950000 |       0.900000 |       false
    22 |      22 | JungleHills              | 0x002C4205 (   2900485) | 0x00FFFFFF (  16777215) |       0.950000 |       0.900000 |       false
    23 |      23 | JungleEdge               | 0x00628B17 (   6458135) | 0x00FFFFFF (  16777215) |       0.950000 |       0.800000 |       false
    24 |      24 | Deep Ocean               | 0x00000030 (        48) | 0x00FFFFFF (  16777215) |       0.500000 |       1.000000 |       false
    25 |      25 | Stone Beach              | 0x00A2A284 (  10658436) | 0x00FFFFFF (  16777215) |       0.200000 |       0.300000 |       false
    26 |      26 | Cold Beach               | 0x00FAF0C0 (  16445632) | 0x00FFFFFF (  16777215) |       0.050000 |       0.300000 |        true
    27 |      27 | Birch Forest             | 0x00307444 (   3175492) | 0x00FFFFFF (  16777215) |       0.600000 |       0.600000 |       false
    28 |      28 | Birch Forest Hills       | 0x001F5F32 (   2055986) | 0x00FFFFFF (  16777215) |       0.600000 |       0.600000 |       false
    29 |      29 | Roofed Forest            | 0x0040511A (   4215066) | 0x00FFFFFF (  16777215) |       0.700000 |       0.800000 |       false
    30 |      30 | Cold Taiga               | 0x0031554A (   3233098) | 0x00FFFFFF (  16777215) |      -0.500000 |       0.400000 |        true
    31 |      31 | Cold Taiga Hills         | 0x00243F36 (   2375478) | 0x00FFFFFF (  16777215) |      -0.500000 |       0.400000 |        true
